id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page
L05-P-01,Reading,"Speaking to family members or friends in a foreign country is rather easy and simple today. But before the days of phones and the Internet, it was not that easy. People just sent a letter and waited for a reply for weeks. And it was a lot harder if they couldn’t read or write.",오늘날 타국에 있는 가족이나 친구에게 말을 거는 것은 꽤 쉽고 간단합니다. 하지만 전화와 인터넷이 없던 시절에는 그리 쉬운 일이 아니었습니다. 사람들은 단지 편지를 보내고 수주 동안 답장을 기다렸습니다. 그리고 그들이 읽거나 쓸 수 없다면 그것은 훨씬 더 힘든 일이었습니다.,G0505,동명사 주어 / 비교급 수식,Speaking / a lot harder,하,91
L05-P-02,Reading,"This letter shows how people got over these difficulties. It was written in 1973 by a woman whose husband was far away. She lived in Sicily, an Italian island, while her husband worked in Germany. At the time, more than 5% of the people in Italy could not read or write, and she was one of them. This letter was discovered by Sicilian writer Gesualdo Bufalino.","이 편지는 사람들이 이러한 어려움을 어떻게 극복했는지 보여줍니다. 그것은 남편이 멀리 떨어져 있던 한 여인에 의해 1973년에 쓰였습니다. 그녀는 이탈리아의 한 섬인 시칠리아에 살았고, 그녀의 남편은 독일에서 일했습니다. 그 당시 이탈리아 인구의 5% 이상이 읽거나 쓸 수 없었고, 그녀는 그들 중 하나였습니다. 이 편지는 시칠리아 작가 제수알도 부팔리노에 의해 발견되었습니다.",G0511,소유격 관계대명사 / 접속사 while,whose husband / while S + V,상,91
L05-P-03,Reading,"My dear love, I miss you so much, and I reach my arms out toward you, together with our three kids. We are all in good health except for the little one. He’s a little sick, but not seriously. I already sent you a letter, but there was no reply, so I am sad about it. If I got a letter from you, I would be very happy. Your mother fell ill and I’m going to visit her in the hospital with some money and food. I’ll go there with our middle son while the oldest looks after the youngest.","사랑하는 당신, 나는 당신이 너무 보고 싶어서 우리 세 명의 아이들과 함께 당신을 향해 내 팔을 뻗어 봅니다. 우리 모두는 막내를 빼고는 건강합니다. 그는 약간 아프지만 심각하지는 않습니다. 내가 이미 당신에게 편지를 보냈지만 답장이 없어서 슬퍼요. 당신으로부터 편지를 받는다면 정말 행복할 거예요. 당신의 어머니가 병환이 나셔서 내가 돈과 음식을 가지고 병원에 면회를 가려 합니다. 첫째가 막내를 돌보는 동안 나는 가운데 아들과 함께 그곳에 가겠습니다.",G0508,가정법 과거 / 어휘 표현,If I got ... I would / look after,상,92
L05-P-04,Reading,"We picked lots of olives from our olive trees this year. I hired a man whose sons are good workers. He knocked the olives down, and his two sons helped him, picking them up from the ground. I paid him 27,000 lire for the work. I spent 12,000 more for the olive press. I got enough oil to fill a large pot and a small one. I can sell it at a price of 1,300 lire a liter.","올해 우리는 올리브 나무에서 많은 올리브를 땄습니다. 나는 아들들이 일을 잘하는 한 남자를 고용했습니다. 그가 올리브를 털었고, 그의 두 아들이 바닥에서 그것들을 줍는 것을 도왔습니다. 나는 그 일의 보수로 그에게 2만 7천 리레를 주었습니다. 올리브 압착기를 위해 1만 2천 리레를 더 썼습니다. 나는 큰 항아리와 작은 항아리를 채우기에 충분한 기름을 얻었습니다. 나는 그것을 리터당 1,300리레의 가격으로 팔 수 있습니다.",G0511,소유격 관계대명사 / 어구 표현,whose sons / knock down,상,93
L05-P-05,Reading,"I had two workers prepare our field and plant seeds for 150,000 lire. I voted for the DC. The PCI lost so many seats that it almost seems dead. But whether one or the other wins, it’s the same. Nothing changes for us poor people. We worked yesterday, and we will work again tomorrow.",나는 15만 리레를 주고 일꾼 두 명을 불러서 우리 밭을 준비하고 씨앗을 심게 했습니다. 나는 기독교민주당을 위해 투표했습니다. 이탈리아 공산당은 의석을 너무 많이 잃어서 거의 사멸한 것 같습니다. 하지만 이쪽이 이기든 저쪽이 이기든 그것은 똑같습니다. 우리 가난한 사람들을 위해 바뀌는 것은 아무것도 없습니다. 우리는 어제 일했고 내일 또 일할 것입니다.,G0513,so ~ that 구문 / 접속사 whether,so many seats that / whether A or B,중,93
L05-P-06,Reading,"My love, my heart thinks of you as Christmas is coming. I would be so happy if you were with me. We all miss you so much. I’m sending you a big hug from me and our three little kids. Goodbye, dear love. My heart is yours, joined to you as our two rings are.","내 사랑, 크리스마스가 다가오니 내 마음은 당신 생각뿐입니다. 당신이 나와 함께 있다면 정말 행복할 거예요. 우리 모두 당신을 너무 그리워합니다. 나와 세 명의 어린 아이들의 큰 포옹을 당신에게 보냅니다. 안녕, 사랑하는 당신. 내 마음은 우리의 두 반지처럼 당신과 하나인 당신의 것입니다.",G0508,가정법 과거 / 감정 표현,If you were ... I would,상,94
